"Customer_Name","Product_Name","Profit","Returned"
"Darrin Van Huff","Self-Adhesive Address Labels for Typewriters by Universal","6.8714","null"
"Brosina Hoffman","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","14.1694","null"
"Brosina Hoffman","Newell 322","1.9656","null"
"Brosina Hoffman","Mitel 5320 IP Phone VoIP phone","90.7152","null"
"Brosina Hoffman","DXL Angle-View Binders with Locking Rings by Samsill","5.7825","null"
"Brosina Hoffman","Belkin F5C206VTEL 6 Outlet Surge","34.47","null"
"Brosina Hoffman","Chromcraft Rectangular Conference Tables","85.3092","null"
"Brosina Hoffman","Konftel 250 Conference phone - Charcoal black","68.3568","null"
"Irene Maddox","Fellowes PB200 Plastic Comb Binding Machine","132.5922","null"
"Alejandro Grove","Fellowes Super Stor/Drawer","9.99","null"
"Zuschuss Donatelli","Newell 341","2.4824","Yes"
"Zuschuss Donatelli","Cisco SPA 501G IP Phone","16.011","Yes"
"Zuschuss Donatelli","Wilson Jones Hanging View Binder, White, 1""","7.384","Yes"
"Emily Burns","Bretford CR4500 Series Slim Rectangular Table","240.2649","null"
"Eric Hoffmann","Wilson Jones Active Use Binders","4.2224","null"
"Eric Hoffmann","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","11.7741","null"
"Ruben Ausman","Eldon Base for stackable storage shelf, platinum","3.894","null"
"Kunst Miller","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","6.1512","null"
"Kunst Miller","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","9.3612","null"
"Kunst Miller","Xerox 1943","68.9631","null"
"Kunst Miller","Luxo Economy Swing Arm Lamp","22.3328","null"
"Brendan Sweed","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","111.3024","null"
"Brendan Sweed","netTALK DUO VoIP Telephone Service","62.988","null"
"Duane Noonan","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","4.172","null"
"Duane Noonan","Sortfiler Multipurpose Personal File Organizer, Black","6.2031","null"
"Jim Sink","Turquoise Lead Holder with Pocket Clip","6.633","Yes"
"Jim Sink","Panasonic Kx-TS550","8.2782","Yes"
"Jim Sink","Xerox 1995","3.1104","Yes"
"Roger Barcio","Flexible Leather- Look Classic Collection Ring Binder","-3.788","null"
"Katherine Ducich","Trimflex Flexible Post Binders","17.9592","null"
"Lena Cacioppo","Logitech K350 2.4Ghz Wireless Keyboard","-26.8758","null"
"Lena Cacioppo","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","-3.8385","null"
"Lena Cacioppo","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","-25.8174","null"
"Dave Kipp","Hon Racetrack Conference Tables","165.3813","null"
"Troy Staebel","Avery Durable Slant Ring Binders, No Labels","-1.8308","null"
"Troy Staebel","Trav-L-File Heavy-Duty Shuttle II, Black","30.499","null"
"Lindsay Shagiari","Global Task Chair, Black","-9.1602","null"
"Lindsay Shagiari","Eldon Cleatmat Plus Chair Mats for High Pile Carpets","26.2416","null"
"Lena Creighton","Xerox 195","9.6192","Yes"
"Lena Creighton","Xerox 1880","16.6568","Yes"
"Lena Creighton","Sanford Colorific Colored Pencils, 12/Box","3.456","Yes"
"Lena Creighton","Ideal Clamps","1.9698","Yes"
"Lena Creighton","GBC Wire Binding Strips","26.6616","Yes"
"Lena Creighton","Fiskars Softgrip Scissors","18.4464","Yes"
"Lena Creighton","Longer-Life Soft White Bulbs","20.6976","Yes"
"Sally Hughsby","Newell 343","2.3814","null"
"Sally Hughsby","Convenience Packs of Business Envelopes","5.1042","null"
"Sally Hughsby","Xerox 1911","68.976","null"
"Helen Andreada","Safco Industrial Wire Shelving","20.1579","null"
